套装值：
0 ： 力量+100
1 ： 敏捷+100
2 ： 智力+100
3 ： 体力+100
4 ： 声望+100
5 ： 最小攻击力+50
6 ： 最大攻击力+50
7 ： 魔法攻击力增加+30%
8 ： 伤害+100
9 ： 攻击成功率+100
10： 防御力+100
11： 最大生命值+100
12： 最大魔法值+100
13： 最大技能值+100
14： 技能值恢复+100
15： 幸运一击+20%
16： 幸运一击伤害+100
17： 卓越一击+20%
18： 卓越一击伤害+100
19： 技能攻击力+50
20： 双倍伤害+20%
21： 无视对方防御率+10%
22： 使用盾时牌防御力增加+30%
23： 双手武器时伤害增加+35%

装备编码：
大类    小类    编号    名称
----------------------------------------
0    0    0    波刃剑
0    1    1    短剑
0    2    2    西洋剑
0    3    3    东洋刀
0    4    4    暗杀者
0    5    5    极光刀
0    6    6    拉丁剑
0    7    7    偃月刀
0    8    8    巨蛇魔剑
0    9    9    背叛者
0    10    10    天行者
0    11    11    传说之剑
0    12    12    太阳之剑
0    13    13    真红之剑
0    14    14    雷神之剑
0    15    15    帝王之剑
0    16    16    破坏之剑
0    17    17    屠龙刀
0    18    18    奔雷剑
0    19    19    大天使之剑
0    20    20    断月之光
0    21    21    魔神剑
0    22    22    龙骨巨晶剑
0    23    23    傲天魔剑
0    24    24    暴风锯齿
0    25    25    烈火巨刃
0    26    26    虚伪之剑
0    27    27    杀戮之剑
0    28    28    双子之剑
0    31    31    天雷剑
1    0    512    短斧
1    1    513    手斧
1    2    514    双刃斧
1    3    515    飞翔斧
1    4    516    精灵之斧
1    5    517    战士之斧
1    6    518    斗士之斧
1    7    519    斗神之斧
1    8    520    末日之斧
2    0    1024    石槌
2    1    1025    流星槌
2    2    1026    破坏之槌
2    3    1027    白金之槌
2    4    1028    水晶流星
2    5    1029    玄冰剑
2    6    1030    玛雅龙斧
2    7    1031    精灵之槌
2    8    1032    战斗权杖
2    9    1033    征服权杖
2    10    1034    圣剑权杖
2    11    1035    王者权杖
2    12    1036    至尊权杖
2    13    1037    大天使绝对权杖
2    14    1038    圣尊天使权杖
2    15    1039    圣光权杖
2    16    1040    巨毒之刺
2    17    1041    独裁权杖
2    18    1042    弹奏权杖
3    0    1536    黑武士
3    1    1537    鹤嘴矛
3    2    1538    战矛
3    3    1539    双鹤矛
3    4    1540    巨蛇镰刀
3    5    1541    双刃矛
3    6    1542    斧刃矛
3    7    1543    巴迪之矛
3    8    1544    帝王镰刀
3    9    1545    死神镰刀
3    10    1546    青龙刀
3    11    1547    铰刀
4    0    2048    短弓
4    1    2049    长弓
4    2    2050    精灵之弓
4    3    2051    巴特之弓
4    4    2052    黄金之虎
4    5    2053    银翼之弓
4    6    2054    玛雅神弓
4    7    2055    弩箭
4    8    2056    石弩
4    9    2057    黄金石弩
4    10    2058    火神弩
4    11    2059    巨人弩
4    12    2060    诱惑之弩
4    13    2061    蓝翎弩
4    14    2062    温蒂妮
4    15    2063    弓箭
4    16    2064    圣者之弩
4    17    2065    圣灵之弓
4    18    2066    大天使之弩
4    19    2067    追月神弩
4    20    2068    红羽神弓
4    21    2069    紫焰之弓
4    22    2070    碧影魔弓
4    23    2071    神羽之弓
4    24    2072    傲视魔弓
5    0    2560    骷髅杖
5    1    2561    天使杖
5    2    2562    毒蛇杖
5    3    2563    闪电杖
5    4    2564    戈登之杖
5    5    2565    传说之杖
5    6    2566    复活之杖
5    7    2567    玛雅雷杖
5    8    2568    毁灭之杖
5    9    2569    麒麟之杖
5    10    2570    大天使之杖
5    11    2571    昆顿之杖
5    12    2572    死神之杖
5    13    2573    幻月雷杖
5    14    2574    迷之杖
5    15    2575    飓风之杖
5    16    2576    红翼之杖
5    17    2577    远古之杖
5    18    2578    魔灵之杖
